Year,GFDL-ESM2M,NorESM2,ACCESS,UKESM1,CanESM5,CESM,MPIESM,CNRM-ESM2-1,MIROC-ES2L
66.0,1.3107455809451831,5.5499,-0.67,3.78989739085,4.4248,5.905458459304835,5.4541,6.769827,3.51034
67.0,2.534122766739991,4.7401,1.21,4.10057441687,2.5463,5.30834193,3.4885,6.881862,4.6395800000000005
68.0,4.500840440997523,5.1137,3.885,2.6465404477,4.025,4.68666638,4.0676,6.887883,5.06683
69.0,3.4767070190381606,4.051,0.19000000000000006,2.38503009008,4.1963,5.16165508,3.259,6.468143,5.132219999999999
70.0,2.597012040257928,4.0809,0.7350000000000001,2.6294320288,5.0357,4.76367574,4.0092,5.625196,4.480169999999999
71.0,0.5101323583039128,5.0155,0.33,2.38965136251,1.6524,3.46137313,3.5143,7.254218,2.19772
72.0,1.615626118623738,3.8841,1.55,3.23602539183,3.7661,3.8716669,3.4112,5.011014,0.75978
73.0,2.6504011376499723,3.6251,0.855,3.4648064591800005,5.0707,4.45254265,2.373,4.529649,3.91928
74.0,10.979500127700517,3.3375,0.535,0.601953302619,1.7947,2.93432945,3.2488,5.069232,3.5798300000000003
75.0,3.916077712661743,2.1697,-0.615,1.18750503272,1.777,4.01780882,3.8452,5.523624,1.41533
76.0,3.551834584308076,2.8142,1.7399999999999998,0.194146068114,5.0042,3.11223425,0.7384,5.595235,-0.94858
77.0,3.643288394586477,3.9748,1.2249999999999999,-0.116288177063,3.9415,3.33198003,4.5137,3.742574,0.74122
78.0,1.3473006718919902,3.3767,1.2799999999999998,1.05536901302,0.81042,3.70483235,1.0743,4.280526,2.93908
79.0,-0.9640907507459516,4.0281,1.405,-1.16354500111,2.154,3.15981977,1.2258,4.736316,2.73281
80.0,0.8492724443500719,2.2575,1.1900000000000002,3.63658295312,1.196,3.58382742,2.5593,4.042537,-1.04994
81.0,6.415395444562064,2.6677,0.8900000000000001,1.7959127220099995,2.756,2.59792612,2.1065,4.345218,-1.91067
82.0,1.702880600355769,2.9173,-0.94,3.20375441073,1.7499,2.8109432,4.4457,3.173019,2.13459
83.0,-3.915098880611596,3.0144,2.045,-0.14829795006,2.9013,2.66088953,3.9691,4.641213,2.16224
