"YEAR" "ST" "CO2" "LA_CO2_FLUX" "OA_CO2_FLUX" "GPP" "NPP" "HETRES" "CLIVE" "CDEAD"
1901 13.4831316790523 472.272796630859 7.32535848227747 3.29901781413004 120.053279825193 53.5343659453532 43.1556554197581 635.366373506941 1809.1996794793
1902 13.6359269722034 476.995513916016 7.63366104217642 3.25012103415176 123.145640439454 55.0666653108353 44.2942712772434 639.829963713222 1812.72371375611
1903 13.5206879271182 481.765411376953 8.96641686103155 3.46528263114531 122.718301557288 55.9027341081919 43.5470601024129 643.568066280525 1817.08257488289
1904 13.6181069489259 486.583099365234 6.82506088448319 3.41105075838137 122.614885589653 54.3340108193626 44.3429157738679 647.516613819244 1821.12111640476
1905 13.4072143730148 491.448913574219 8.28054069706676 3.39025370574807 122.643752280923 55.3185613514901 43.8472313852317 651.341275348718 1825.13699221651
1906 13.51465633771 496.363403320312 6.82463498157144 3.7285655737596 119.950330767784 53.4751417975444 43.3850320885468 654.260982181939 1829.57010237835
1907 13.602563115808 501.326995849609 7.96355524353361 3.41844051737442 124.442229759999 56.0846684656248 44.7999957173966 658.270282672887 1832.76160876103
1908 13.3701322838687 506.340301513672 10.1538259938674 3.22953588389576 128.576626082453 58.3034476141192 44.8255666832606 664.026937468964 1836.54276870046
1909 13.4433209749848 511.403686523438 8.33358482950623 3.57685536168438 127.862978119558 56.6219479581131 44.8868620520215 668.790286821748 1841.36877556861
1910 13.6196949535029 516.517822265625 8.0458592309283 3.65686046993028 127.923349266669 57.0181681659037 45.7924216613888 672.308312852583 1845.59462688866
1911 13.4377824133778 521.682922363281 9.01852468365183 3.61059613893018 127.8695786193 57.4059634371354 45.1226890495221 676.745326309641 1850.06663823733
1912 13.4733918556824 526.899780273438 7.48156214517529 3.61014739369079 125.740266917669 55.9412404932655 45.0034070946552 680.321727079088 1854.76906550463
1913 13.5396729892872 532.168823242188 8.39069718256896 3.63284776311207 129.104547200262 57.4888775497649 45.6447723914247 684.893499045605 1858.4104452325
1914 13.5636170276169 537.490417480469 9.33130024086596 3.69595312830418 132.065974677208 59.1956462491905 46.5743390718844 689.826235393943 1862.59203163824
