   year        tas_(K)            co2_(ppm)    landflx_(PgC/yr)  ocnflx_(PgC/yr)  gpp_(PgC/yr)    npp_(PgC/yr)    rh_(PgC/yr)     cveg_(PgC)      csoil_(PgC)
  1892.0   13.482699420000017   284.2   -1.33364706865   -0.103496681222   114.436254823   57.6633299827   58.122085833   582.89783828   1779.42765594 
  1893.0   13.266921894999996   284.2   1.46467214821   -0.187260134349   122.098649413   61.4267496355   59.0405198075   583.360355445   1779.21526179 
  1894.0   13.31487364200001   284.2   2.00490051528   -0.17471770824   121.571244563   61.0592010215   58.1210969047   584.038815301   1780.44593312 
  1895.0   13.406128343000034   284.2   0.149080956157   -0.198644096289   117.709891368   59.0284875295   57.9942151828   584.227577531   1781.21392556 
  1896.0   13.507959373000006   284.2   -0.935249511123   -0.218662755573   116.5610054   58.4916165896   58.5610358092   584.256213467   1780.8651877 
  1897.0   13.640620305000027   284.2   -1.09355895462   -0.0333914693242   112.458674417   56.4725495669   56.6470697268   583.696242814   1780.17678247 
  1898.0   13.572128343000031   284.2   -0.687213329529   -0.00159309315086   114.463420357   57.6834788438   57.4578473549   583.06623932   1779.93404459 
  1899.0   13.485025484000005   284.2   -1.10341816435   -0.109968684598   115.776188983   58.1564049874   58.3552760974   582.750958229   1779.28784316 
  1900.0   13.48016366600001   284.2   -0.0937296707488   -0.142182748536   117.2920957   58.8043385929   58.03684186   582.91359969   1778.86677835 
  1901.0   13.398061989000041   284.2   -0.585453141451   -0.237995326013   115.594140827   58.4126951958   58.1270414319   582.620703732   1778.55325916 
  1902.0   13.47993946500003   284.2   0.63845996014   -0.141870176648   117.223867585   59.4394397195   57.9164861837   582.852635772   1778.42129489 
  1903.0   13.61159567300001   284.2   -2.05202346915   0.0236348748271   111.178974762   55.7492364702   56.9420694556   582.400457813   1778.31196513 
  1904.0   13.616627791000042   284.2   -0.954236753184   -0.0811673345447   114.03307727   57.3768266853   57.4717019144   581.6461042   1777.5407648 
  1905.0   13.556134233000023   284.2   0.643760266275   0.110146974865   116.984429408   59.2292264494   57.7423469912   581.776330762   1777.0940993 
  1906.0   13.580179117   284.2   0.463032910174   0.100920974431   118.067598296   59.218009197   57.9096498202   582.492828141   1777.28922004 
  1907.0   13.602745950000042   284.2   -0.95021840441   -0.0202515300313   115.500923837   58.3069369182   58.3565502659   582.369963961   1776.73381038 
  1908.0   13.606069112   284.2   0.0950179954284   0.0522247497083   116.405809678   58.8491369224   57.8683845298   582.42925848   1776.4649193 
  1909.0   13.67657880400003   284.2   0.586429600241   -0.0960692097094   117.815978152   59.2346673725   57.7834376631   582.766431125   1776.50404113 
  1910.0   13.783155631   284.2   -1.89097181319   -0.0586411332378   112.398329414   56.2967870669   57.3756595342   582.364814735   1776.37983609 
  1911.0   13.671128013000043   284.2   0.468455301909   -0.151091068353   117.938784183   59.5998977466   58.2695001932   582.393036581   1775.41487475 
  1912.0   13.695663937999996   284.2   0.864539329353   -0.143763433798   117.810424313   59.5515468839   57.8212268152   582.683330251   1775.85505236 
  1913.0   13.634891030999995   284.2   0.615324923111   -0.0400980528091   118.218813102   59.3830953341   57.8888459047   583.088827272   1776.30484394 
  1914.0   13.79557410700005   284.2   -1.17221195348   0.00802912178601   117.18828501   58.2580193635   58.5054288182   582.91876607   1776.10419395 
  1915.0   13.74619214300003   284.2   -1.09083753554   -0.0676487049713   115.828347106   58.0520072607   58.2005529188   582.445320998   1775.19387203 
  1916.0   13.55729125800002   284.2   1.2782074632   -0.0243302672133   119.284548674   60.2420185488   58.0166139587   582.495825888   1775.69125051 
  1917.0   13.70198698200005   284.2   -0.848263574287   0.10961823022   115.531778324   58.0631272455   57.999480702   582.219516176   1775.73149724 
  1918.0   13.822354087000008   284.2   -2.79508008967   0.000558621424269   113.46621091   56.6877458809   58.5715267939   581.623719786   1774.63000255 
  1919.0   13.58001480200005   284.2   2.19993511327   0.057733106677   122.520844303   62.1586074332   59.0654301429   582.155021819   1773.99650412 
  1920.0   13.595542807000015   284.2   1.0213835145   -0.087190337243   118.061842379   59.5626975006   57.6396437671   582.813311523   1775.10124637 
  1921.0   13.50172046900002   284.2   0.444193967652   0.0492894991904   116.667561461   59.1139814047   57.7074082313   582.557106687   1775.85613359 
  1922.0   13.573870010000007   284.2   0.187609898764   -0.0172736309735   117.869486518   59.6051673243   58.4276493171   582.540866444   1776.34674486 
  1923.0   13.463628938   284.2   1.08503048025   -0.18611041686   119.108336735   60.381566262   58.3363626015   582.661052379   1776.65606953 
  1924.0   13.500202174000037   284.2   -0.259586774688   0.00513385687732   117.402885895   59.1892026471   58.4922360275   582.873418769   1777.08645486 
  1925.0   13.646797842000012   284.2   -0.595494835206   -0.17109054022   116.909011067   58.8841864205   58.5589416039   582.688290749   1776.79807817 
  1926.0   13.692516385000033   284.2   -0.116791623986   -0.0663324735056   118.555039377   59.8129738951   58.9744770691   582.757763848   1776.30626813 
  1927.0   13.516997046000029   284.2   1.28627456335   -0.126252161067   119.114657224   60.3477819197   58.1564755124   583.286972595   1776.22978663 
  1928.0   13.512873108000008   284.2   0.604119078302   -0.0788120998353   116.521810655   58.8056617988   57.2707443095   583.515526315   1777.1505998 
  1929.0   13.646031875999995   284.2   0.035781177161   0.1556184461   115.400983226   58.2348988133   57.3033497201   583.355568025   1777.93462238 
  1930.0   13.673331307000012   284.2   -1.70136171708   0.171271308683   114.242675144   57.2015055265   57.9984960806   582.800305707   1777.19604609 
  1931.0   13.516313267000044   284.2   0.827944997992   0.00836292747937   120.04477066   60.3875666291   58.5999805703   582.798776051   1776.7759362 
  1932.0   13.508105165000018   284.2   1.29994823157   0.0131095896818   120.080079797   60.5766455084   58.3713533633   583.087446284   1777.84464745 
  1933.0   13.469440996000003   284.2   1.05023813033   -0.0606281288053   120.454706459   60.5174995857   58.5573643978   583.430915016   1778.45963658 
  1934.0   13.728082940000036   284.2   -0.98815864807   0.0943283280363   116.394137986   58.4337311372   58.5269581566   583.485813083   1778.60161324 
  1935.0   13.697674075999998   284.2   -1.52541430621   0.0930923857568   114.497518948   57.4658842545   58.1095415566   583.101850264   1777.36031 
  1936.0   13.680906296000046   284.2   -1.70970190223   0.239426992591   113.025456068   56.91427072   57.7357583546   582.417368156   1776.51605617 
  1937.0   13.682366295000008   284.2   -0.906454439702   0.0617512622753   116.913016632   58.8966003473   58.9305839072   582.180772539   1775.27658376 
  1938.0   13.508373401000028   284.2   1.02792203543   0.191778416664   118.561292711   59.8537649888   57.9387535071   582.357532722   1775.27086 
  1939.0   13.646437698   284.2   -0.620724507641   0.0481973334335   119.16642346   59.8135552222   59.5342674405   582.497108977   1775.32895002 
  1940.0   13.46730691700003   284.2   0.218874486373   0.0470531749272   115.451837871   58.3570345442   57.2290184617   582.510071449   1775.35928218 
  1941.0   13.331172454000011   284.2   -0.0326149644317   0.0988609578251   115.694398349   58.6858095712   57.8057939177   582.037853949   1775.67687264 
  1942.0   13.358344249000027   284.2   0.537116720231   0.0207276979529   117.024016026   59.0341219476   57.5996445463   581.980288727   1776.01658142 
  1943.0   13.384536001000015   284.2   0.672042563976   0.0156501187206   117.639684654   59.6016441445   58.0087456636   581.971236111   1776.53953855 
