climate_model,ensemble_member,region,ecs_abrupt-2xco2,ecs_theoretical,tcre_1pctco2,tcre_flat10,tnz_flat10,tpw,tr0_flat10,tr1000_flat10,zec100_esm-1pct-brch-1000pgc,zec100_esm-1pct-brch-2000pgc,zec100_esm-1pct-brch-750pgc,zec100_flat10,zec200_esm-1pct-brch-1000pgc,zec200_esm-1pct-brch-2000pgc,zec200_esm-1pct-brch-750pgc,zec200_flat10,zec50_esm-1pct-brch-1000pgc,zec50_esm-1pct-brch-2000pgc,zec50_esm-1pct-brch-750pgc,zec50_flat10
MAGICCv7.5.3,247,World,3.5736654614242775,3.5775607464443286,2.2307379818008797,2.1490373722146976,0.0540527259522449,3,-0.8010134688807563,0.0132482754352571,-0.0717229298119996,0.2260195230624537,-0.1224723399764977,-0.0632217174848728,-0.2209650337398798,0.2080267879439405,-0.2526712932410011,-0.1819067216142738,0.0392429997433403,0.2300828008505577,-0.0196410739389343,-0.0058158595644237
MAGICCv7.5.3,248,World,2.567683166533045,2.569507175691477,1.5136007996082963,1.4087520863795544,-0.0684702117735696,-10,-0.5875225833928347,-0.258614146413703,-0.2480093827433762,-0.0905495642704772,-0.2627787809478958,-0.1885921824417737,-0.3118716985084333,-0.1382125240131393,-0.3206877316011143,-0.254406720238252,-0.2096573336327263,-0.0734653450871714,-0.2220478321029551,-0.1418862030617358
MAGICCv7.5.3,249,World,2.7613233725794117,2.767264914895042,1.4821020650243053,1.3657567067470828,-0.0592376655046067,-8,-0.5844297021559183,-0.2282578277680089,-0.21763966596662,-0.0402863051369277,-0.2305996140016485,-0.1711689168881347,-0.2809121297454113,-0.0837443530261734,-0.2821794173461648,-0.2369256694805752,-0.1832693740324531,-0.031185347092304,-0.1956188462855839,-0.1268525624515497
MAGICCv7.5.3,25,World,1.4815548675453714,1.4818995535890322,0.8642602011873599,0.8094826438177701,-0.0055351084601333,-2,-0.2307118505833804,-0.0404348673293692,-0.0464385887259005,0.1227803640565834,-0.0675764501653923,-0.0402327186740146,-0.0587960970957572,0.1703916325452346,-0.0819526245171955,-0.0549027435771444,-0.0400077615332161,0.0849301827276816,-0.056519200414133,-0.0287343098420874
MAGICCv7.5.3,250,World,2.781767077502734,2.809348351075891,1.631166271253628,1.5174375255927808,-0.067248526962915,-9,-0.7037998146544302,-0.271424083075777,-0.25187565634218,-0.0785158315795175,-0.2642767997102393,-0.2025281453022696,-0.3326671862577177,-0.1435991557319558,-0.3318601019357279,-0.2824884314427678,-0.2040839590024807,-0.05309079033958,-0.2171759471695993,-0.1465056745131363
MAGICCv7.5.3,251,World,3.230053069890715,3.2502856746620674,1.352653598959894,1.340670005265883,0.0227352940319569,2,-0.4369588477510353,0.0241527999555488,0.0555389275592734,0.2950676291270433,0.0126411962422177,0.0104602263213482,0.0664956571681212,0.3756174779711396,0.0167148498170282,0.0028055301452167,0.0293033737693839,0.2048226813763976,-0.0011713634316505,0.0065719644152546
MAGICCv7.5.3,252,World,2.59182185306361,2.597109685944071,1.4589813908469635,1.373591548883708,-0.036444602385107,-7,-0.8053517843139448,-0.2269514515321666,-0.2269108041035608,-0.0204163846631,-0.2286572320474502,-0.2174030462836806,-0.3185009652893811,-0.0647344577399056,-0.307232293052775,-0.2944724039516257,-0.101040808982288,0.054330168116961,-0.1130952533837341,-0.1173639982035301
MAGICCv7.5.3,253,World,2.1704000779745147,2.1707171363642153,1.2832917547994531,1.180532839656957,-0.063875696514652,-11,-0.5737357888130653,-0.2329269584817661,-0.2255135794373137,-0.1045546346336436,-0.2311607093683906,-0.1685748933422404,-0.2840456570821628,-0.1590354548979471,-0.2809155100028306,-0.2269051141382679,-0.191169881112087,-0.0814189892687666,-0.197560655521243,-0.127403953771781
MAGICCv7.5.3,254,World,2.7717429292057454,2.77334347542429,1.5785803432612024,1.501981064087995,-0.0268969780030821,-6,-0.8572691831629196,-0.205797236029283,-0.203573939705252,0.0361899312244302,-0.2130060949435137,-0.2056988109947337,-0.2827288808566908,0.0573395701535677,-0.2880710461162195,-0.2730761070567571,-0.079219572604668,0.0855538777871007,-0.0938609009561446,-0.106020697679289
MAGICCv7.5.3,255,World,2.774075790562144,2.789177360257102,1.7280942430588904,1.564928448793426,-0.0885832525336758,-11,-0.9017445975571904,-0.3800443584210391,-0.4161144845654818,-0.1661064444311444,-0.3740312966148864,-0.3376007767737445,-0.5342111417778022,-0.2186149141503186,-0.4718448532466207,-0.4344713466775325,-0.2429377932719976,-0.0554648834008792,-0.2240388124983554,-0.2054006793540905
